source,force,target
MQRF_35,0.615437344418427,MQRF_34
MQRF_36,0.431314363224247,MQRF_34
MQRF_37,0.423620664229477,MQRF_34
MQRF_39,0.434601272659627,MQRF_34
MQRF_43,0.41627943009211,MQRF_34
MQRF_50,0.440622257180651,MQRF_34
MQRF_51,0.403047306953297,MQRF_34
MQRF_52,0.441159922219031,MQRF_34
MQRF_60,0.430310727378664,MQRF_34
MQRF_70,0.402916051414681,MQRF_34
MQRF_86,0.421889479793586,MQRF_34
MQRF_88,0.437758144693846,MQRF_34
MQRF_93,0.420236314178749,MQRF_34
MQRF_94,0.417569875957712,MQRF_34
MQRF_180,0.472374204700351,MQRF_34
MQRF_187,0.404591310878747,MQRF_34
MQRF_198,0.451522419194887,MQRF_34
MQRF_200,0.401996487956107,MQRF_34
MQRF_225,0.473481451342095,MQRF_34
MQRF_226,0.426483197191255,MQRF_34
MQRF_227,0.410597765789478,MQRF_34
MQRF_228,0.564260967571162,MQRF_34
MQRF_230,0.51296471051412,MQRF_34
MQRF_232,0.408868689362838,MQRF_34
MQRF_264,0.400158612364922,MQRF_34
MQRF_265,0.44983609767135,MQRF_34
MQRF_266,0.445965715182368,MQRF_34
MQRF_267,0.40617884802208,MQRF_34
MQRF_268,0.489426510751653,MQRF_34
MQRF_271,0.43388237335131,MQRF_34
MQRF_284,0.427837029194674,MQRF_34
MQRF_304,0.433488706766153,MQRF_34
MQRF_306,0.438006006443485,MQRF_34
MQRF_355,0.475839065214254,MQRF_34
MQRF_357,0.430253502550239,MQRF_34
MQRF_359,0.430785632787946,MQRF_34
MQRF_466,0.481234847323771,MQRF_34
MQRF_469,0.406600294790659,MQRF_34
MQRF_471,0.504399431085591,MQRF_34
MQRF_474,0.413778902761761,MQRF_34
MQRF_479,0.447273462039917,MQRF_34
MQRF_481,0.472913326051272,MQRF_34
MQRF_488,0.474286687550101,MQRF_34
MQRF_489,0.577328635559261,MQRF_34
MQRF_495,0.482212876705306,MQRF_34
MQRF_508,0.441362547941509,MQRF_34
MQRF_537,0.424851929100551,MQRF_34
MQRF_538,0.446568277156846,MQRF_34
MQRF_543,0.402411171002081,MQRF_34
MQRF_549,0.417396953676884,MQRF_34
MQRF_556,0.42858520240888,MQRF_34
MQRF_560,0.424903255270491,MQRF_34
MQRF_561,0.446225573770512,MQRF_34
MQRF_569,0.490228012610954,MQRF_34
MQRF_579,0.426757582917517,MQRF_34
MQRF_581,0.493316541365752,MQRF_34
MQRF_583,0.493159438807778,MQRF_34
MQRF_619,0.417882010675161,MQRF_34
MQRF_620,0.53196491733642,MQRF_34
MQRF_629,0.402371397835548,MQRF_34
MQRF_638,0.411934034528771,MQRF_34
MQRF_644,0.42724523786906,MQRF_34
